Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Experience_Band,Income_Band,Job_Sector,Labour_Group
Chef,116145,27,Master's,0.96,0.68,0.34,Medium,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95,Expert/Late,High,Hospitality & Catering,Manual_Trade_Service
Data Scientist,124613,4,High School,0.48,0.77,0.52,Medium,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41,Early Career,High,Digital & Technology,Digital_Creative
Marketing Manager,30060,10,PhD,0.6,0.96,0.33,Medium,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69,Senior,Low,Marketing & Professional Services,Private_Professional
Marketing Manager,87134,11,High School,0.54,1.37,0.59,Medium,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04,Senior,Middle,Marketing & Professional Services,Private_Professional
Construction Worker,67641,15,PhD,0.93,0.68,0.84,High,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84,Senior,Middle,Construction,Manual_Trade_Service
Research Scientist,67265,26,Master's,0.83,0.54,0.2,Low,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79,Expert/Late,Middle,Research & Development,Digital_Creative
Customer Support,145608,12,Master's,0.63,1.39,0.85,High,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35,Senior,High,Customer Service,Manual_Trade_Service
Mechanic,59629,16,High School,0.4,0.98,0.55,Medium,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29,Senior,Middle,Transport & Automotive Services,Manual_Trade_Service
Data Scientist,85619,17,Bachelor's,0.23,0.54,0.31,Medium,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88,Senior,Middle,Digital & Technology,Digital_Creative
Software Engineer,136506,29,PhD,0.61,0.67,0.7,Medium,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78,Expert/Late,High,Digital & Technology,Digital_Creative
Research Scientist,148533,4,High School,0.06,1.47,0.27,Low,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22,Early Career,High,Research & Development,Digital_Creative
Financial Analyst,105758,24,Bachelor's,0.59,1.08,0.34,Medium,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09,Expert/Late,High,Finance & Professional Services,Private_Professional
Marketing Manager,55559,27,Master's,0.37,0.76,0.59,Medium,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82,Expert/Late,Middle,Marketing & Professional Services,Private_Professional
Financial Analyst,31591,7,Master's,0.68,1.07,0.41,Medium,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62,Mid-Level,Middle,Finance & Professional Services,Private_Professional
Financial Analyst,32469,27,Master's,0.16,1.38,0.65,Medium,0.03,0.83,0.13,0.34,0.74,0.16,0.82,0.83,0.51,0.01,Expert/Late,Middle,Finance & Professional Services,Private_Professional
Marketing Manager,117263,12,Bachelor's,0.62,1.48,0.55,Medium,0.26,0.63,0.54,0.78,0.11,0.76,0.54,0.96,0.34,0.63,Senior,High,Marketing & Professional Services,Private_Professional
Retail Worker,121357,4,Master's,0.1,1.44,0.87,High,0.07,0.3,0.71,0.07,0.58,0.35,0.62,0.05,0.87,0.97,Early Career,High,Retail & Consumer Services,Manual_Trade_Service
Nurse,54860,11,High School,0.75,0.63,0.24,Low,0.02,0.02,0.32,0.49,0.77,0.68,0.45,0.27,1.0,0.43,Senior,Middle,Health & Social Care,Public_Sector
Retail Worker,36540,8,PhD,0.16,1.29,0.87,High,0.22,0.08,0.68,0.65,0.27,0.95,0.15,0.43,0.94,0.42,Mid-Level,Middle,Retail & Consumer Services,Manual_Trade_Service
Retail Worker,58602,19,High School,0.4,0.77,0.95,High,0.41,0.89,0.23,0.21,0.03,0.65,0.37,0.86,0.47,0.97,Senior,Middle,Retail & Consumer Services,Manual_Trade_Service
Lawyer,69341,24,PhD,0.87,1.28,0.61,Medium,0.84,0.76,0.63,0.13,0.03,0.92,0.62,0.8,0.48,0.12,Expert/Late,Middle,Legal Services,Private_Professional
Doctor,41536,29,PhD,0.69,0.93,0.1,Low,0.49,0.06,0.58,0.27,0.8,0.31,0.46,0.01,0.07,0.39,Expert/Late,Middle,Health & Social Care,Public_Sector
Marketing Manager,113309,14,Master's,0.6,0.79,0.58,Medium,0.86,0.78,0.04,0.48,0.1,0.24,0.99,0.14,0.5,0.62,Senior,High,Marketing & Professional Services,Private_Professional
AI Engineer,78787,0,Master's,0.56,0.51,0.13,Low,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8,Entry/Junior,Middle,Digital & Technology,Digital_Creative
Graphic Designer,98577,9,High School,0.17,0.6,0.55,Medium,0.71,0.03,0.94,0.05,0.54,0.71,0.87,0.71,0.8,0.34,Mid-Level,Middle,Creative Industries,Digital_Creative
Construction Worker,54826,6,Master's,0.66,1.05,0.85,High,0.78,0.48,0.04,0.16,0.44,0.72,0.59,0.65,0.48,0.62,Mid-Level,Middle,Construction,Manual_Trade_Service
Marketing Manager,61890,22,Master's,0.47,1.24,0.65,Medium,0.43,0.04,0.16,0.02,0.65,0.33,0.54,0.49,0.08,0.4,Expert/Late,Middle,Marketing & Professional Services,Private_Professional
HR Specialist,75500,28,Bachelor's,0.42,0.7,0.64,Medium,0.17,0.96,0.42,0.85,0.63,0.74,0.77,0.5,0.54,0.51,Expert/Late,Middle,Business & Professional Services,Private_Professional
Truck Driver,95128,3,PhD,0.03,0.9,0.85,High,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,0.84,0.24,Early Career,Middle,Transport & Logistics,Manual_Trade_Service
UX Researcher,49975,3,High School,0.91,0.68,0.4,Medium,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59,Early Career,Middle,Digital & Creative Industries,Digital_Creative
Chef,75893,16,Master's,0.39,1.47,0.4,Medium,0.66,0.33,0.77,0.13,0.97,0.45,0.24,0.07,0.17,0.52,Senior,Middle,Hospitality & Catering,Manual_Trade_Service
HR Specialist,106619,29,High School,0.15,0.95,0.54,Medium,0.95,0.25,0.36,0.38,0.61,0.36,0.53,0.78,0.71,0.45,Expert/Late,High,Business & Professional Services,Private_Professional
HR Specialist,113310,14,High School,0.56,1.04,0.31,Medium,0.99,0.12,0.23,0.05,0.64,0.22,0.18,0.09,0.1,0.58,Senior,High,Business & Professional Services,Private_Professional
AI Engineer,55611,9,High School,0.4,0.98,0.22,Low,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13,Mid-Level,Middle,Digital & Technology,Digital_Creative
Truck Driver,108131,15,Bachelor's,0.94,1.23,0.74,High,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02,Senior,High,Transport & Logistics,Manual_Trade_Service
Research Scientist,58625,16,Bachelor's,0.83,1.36,0.24,Low,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,0.35,0.16,Senior,Middle,Research & Development,Digital_Creative
Lawyer,47087,5,Bachelor's,0.32,1.37,0.7,Medium,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,0.88,Mid-Level,Middle,Legal Services,Private_Professional
Customer Support,143942,18,Bachelor's,0.87,0.88,0.77,High,0.65,0.33,0.63,0.61,0.56,0.38,0.55,0.6,0.55,0.44,Senior,High,Customer Service,Manual_Trade_Service
Mechanic,109973,25,High School,0.59,0.67,0.56,Medium,0.76,0.5,0.54,0.95,0.85,0.91,0.81,0.11,0.15,0.53,Expert/Late,High,Transport & Automotive Services,Manual_Trade_Service
Truck Driver,57598,11,PhD,0.48,0.89,0.84,High,0.75,0.72,0.52,0.82,0.43,0.9,0.07,0.95,0.65,0.38,Senior,Middle,Transport & Logistics,Manual_Trade_Service
Doctor,75379,20,Bachelor's,0.48,0.69,0.09,Low,0.62,0.52,0.67,0.93,0.53,0.58,0.09,0.72,0.4,0.98,Expert/Late,Middle,Health & Social Care,Public_Sector
HR Specialist,130441,24,High School,0.52,0.62,0.64,Medium,0.8,0.18,0.3,0.79,0.19,0.92,0.42,0.09,0.82,0.37,Expert/Late,High,Business & Professional Services,Private_Professional
UX Researcher,72668,9,High School,0.11,0.5,0.56,Medium,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26,Mid-Level,Middle,Digital & Creative Industries,Digital_Creative
Data Scientist,140641,23,Master's,0.82,0.92,0.57,Medium,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02,Expert/Late,High,Digital & Technology,Digital_Creative
Marketing Manager,46014,2,PhD,0.61,1.05,0.39,Medium,0.39,0.59,0.5,0.99,0.14,0.7,0.4,0.43,0.72,0.69,Early Career,Middle,Marketing & Professional Services,Private_Professional
Data Scientist,92438,23,Bachelor's,0.13,0.6,0.59,Medium,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07,Expert/Late,Middle,Digital & Technology,Digital_Creative
Doctor,102240,27,High School,0.07,1.3,0.11,Low,0.54,0.88,0.65,0.53,0.32,0.33,0.67,0.99,0.66,0.56,Expert/Late,High,Health & Social Care,Public_Sector
Truck Driver,39686,29,PhD,0.33,1.08,0.72,High,0.96,0.63,0.75,0.17,0.41,0.42,0.82,0.0,0.3,0.98,Expert/Late,Middle,Transport & Logistics,Manual_Trade_Service
Mechanic,40754,15,PhD,0.38,0.62,0.69,Medium,0.02,0.74,0.77,0.24,0.67,0.09,0.26,0.79,0.86,0.61,Senior,Middle,Transport & Automotive Services,Manual_Trade_Service
Retail Worker,40699,5,Bachelor's,0.16,0.56,0.73,High,0.23,0.34,0.38,0.35,0.24,0.51,0.83,0.28,0.94,0.87,Mid-Level,Middle,Retail & Consumer Services,Manual_Trade_Service
HR Specialist,120373,2,PhD,0.79,1.07,0.53,Medium,0.39,0.5,0.4,0.54,0.63,0.67,0.53,0.72,0.14,0.21,Early Career,High,Business & Professional Services,Private_Professional
Software Engineer,70461,8,High School,0.32,0.52,0.36,Medium,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9,Mid-Level,Middle,Digital & Technology,Digital_Creative
HR Specialist,103965,28,High School,0.32,1.45,0.63,Medium,0.67,0.12,0.48,0.51,0.23,0.08,0.78,0.12,0.59,0.94,Expert/Late,High,Business & Professional Services,Private_Professional
Research Scientist,58179,17,PhD,0.28,1.35,0.05,Low,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62,Senior,Middle,Research & Development,Digital_Creative
Doctor,125694,8,PhD,0.43,0.67,0.07,Low,0.78,0.27,0.18,0.69,0.62,0.63,0.23,0.23,0.22,0.17,Mid-Level,High,Health & Social Care,Public_Sector
Chef,128723,27,High School,0.85,1.22,0.62,Medium,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13,Expert/Late,High,Hospitality & Catering,Manual_Trade_Service
Financial Analyst,36548,21,Bachelor's,0.79,1.08,0.57,Medium,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27,Expert/Late,Middle,Finance & Professional Services,Private_Professional
Research Scientist,40634,20,PhD,0.84,0.6,0.17,Low,0.15,0.32,0.74,0.48,0.38,0.39,0.46,0.79,0.89,0.96,Expert/Late,Middle,Research & Development,Digital_Creative
HR Specialist,62784,23,Master's,0.32,1.19,0.48,Medium,0.25,0.84,0.04,0.9,0.46,0.64,0.66,0.9,0.64,0.61,Expert/Late,Middle,Business & Professional Services,Private_Professional
Nurse,37099,22,High School,0.52,0.65,0.23,Low,0.51,0.68,0.04,0.08,0.72,0.07,0.07,0.01,0.96,0.74,Expert/Late,Middle,Health & Social Care,Public_Sector
Graphic Designer,74857,13,Bachelor's,0.99,1.47,0.68,Medium,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,0.51,0.9,Senior,Middle,Creative Industries,Digital_Creative
Data Scientist,91063,7,Master's,0.62,0.88,0.38,Medium,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98,Mid-Level,Middle,Digital & Technology,Digital_Creative
Security Guard,89765,12,PhD,0.58,1.25,0.9,High,0.66,0.13,0.34,0.93,0.22,0.37,0.43,0.44,0.61,0.94,Senior,Middle,Security & Protective Services,Manual_Trade_Service
Mechanic,32461,19,High School,0.12,0.7,0.65,Medium,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84,Senior,Middle,Transport & Automotive Services,Manual_Trade_Service
Teacher,53911,13,Master's,0.78,1.16,0.09,Low,0.55,0.98,0.94,0.04,0.16,0.13,0.73,0.82,0.21,0.51,Senior,Middle,Education,Public_Sector
Financial Analyst,50567,11,Bachelor's,0.73,1.04,0.54,Medium,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01,Senior,Middle,Finance & Professional Services,Private_Professional
Marketing Manager,52656,11,Bachelor's,0.73,1.49,0.34,Medium,0.4,0.8,0.2,0.56,0.73,0.62,0.19,0.36,0.78,0.55,Senior,Middle,Marketing & Professional Services,Private_Professional
Research Scientist,77701,9,Bachelor's,0.76,0.54,0.24,Low,0.2,0.96,0.37,0.33,0.15,0.31,0.88,1.0,0.37,0.45,Mid-Level,Middle,Research & Development,Digital_Creative
Graphic Designer,137539,9,High School,0.89,1.09,0.46,Medium,0.41,0.7,0.0,0.62,0.36,0.79,0.09,0.59,0.48,0.64,Mid-Level,High,Creative Industries,Digital_Creative
Research Scientist,46087,4,High School,0.58,1.06,0.19,Low,0.6,0.68,0.8,0.27,0.83,0.5,0.08,0.06,0.33,0.78,Early Career,Middle,Research & Development,Digital_Creative
Lawyer,67861,20,PhD,0.79,1.02,0.48,Medium,0.15,0.33,0.43,0.09,0.22,0.6,0.74,1.0,0.93,0.64,Expert/Late,Middle,Legal Services,Private_Professional
Construction Worker,89792,5,Master's,0.64,1.29,0.73,High,0.41,0.84,0.38,0.57,0.59,0.18,0.36,0.33,0.03,0.02,Mid-Level,Middle,Construction,Manual_Trade_Service
